Lane (F)	Forebrain	Lane(H)	Hypothalamus	Lane(M)	Medulla	Animal	State	Sex	SacDate	sacTb
NA	NA	5	H29_35	NA	NA	29	SA	F	8-Aug-07	37
1	B30_2	5	H30_41	1	M30_5	30	SA	F	8-Aug-07	37
1	B31_8	8	H31_47	1	M31_11	31	SA	M	8-Aug-07	37
2	B32_14	NA	NA	3	M32_17	32	SA	M	8-Aug-07	37
2	B33_20	8	H33_53	3	M33_23	33	SA	M	8-Aug-07	37
3	B34_26	8	H34_59	3	M34_29	34	SA	F	8-Aug-07	37
1	B53_6	5	H53_31	1	M53_1	53	Ar	M	28-Dec-07	12.8
2	B54_12	5	H54_37	1	M54_7	54	Ar	F	28-Dec-07	7.9
1	B55_4	NA	NA	1	M55_2	55	Ent	M	3-Jan-08	27
2	B57_18	5	H57_43	1	M57_13	57	Ar	M	9-Jan-08	7.9
3	B58_24	NA	NA	3	M58_19	58	Ar	F	9-Jan-08	8.3
1	B59_10	5	H59_32	1	M59_8	59	Ent	M	14-Jan-08	26.6
NA	NA	8	H60_49	NA	NA	60	Ar	F	14-Jan-08	7
3	B61_30	8	H61_55	3	M61_25	61	Ar	F	22-Jan-08	8.2
2	B62_16	5	H62_38	1	M62_14	62	Ent	M	24-Jan-08	23.3
3	B64_22	5	H64_44	NA	NA	64	Ent	F	24-Jan-08	23
1	B65_5	5	H65_34	1	M65_4	65	LT	F	31-Jan-08	5.5
3	B66_28	8	H66_50	3	M66_20	66	Ent	F	31-Jan-08	27
2	B67_11	5	H67_40	1	M67_10	67	LT	M	1-Feb-08	6.6
2	B68_17	8	H68_46	3	M68_16	68	LT	M	1-Feb-08	6.2
2	B69_15	5	H69_33	1	M69_3	69	IBA	M	11-Feb-08	30.6
3	B70_21	5	H70_39	1	M70_9	70	IBA	M	13-Feb-08	31.5
3	B72_23	8	H72_52	3	M72_22	72	LT	F	22-Feb-08	5.6
3	B74_29	8	H74_58	3	M74_28	74	LT	F	26-Feb-08	5.7
2	B77_13	8	H77_48	3	M77_18	77	SpD	M	21-Mar-08	37
3	B78_27	5	H78_45	1	M78_15	78	IBA	M	26-Mar-08	37.4
2	B79_19	8	H79_54	3	M79_24	79	SpD	M	10-Apr-08	37
3	B80_25	8	H80_60	3	M80_30	80	SpD	F	11-Apr-08	37
1	B83_1	5	H83_36	1	M83_6	83	SpD	F	30-Apr-08	37
1	B84_7	5	H84_42	1	M84_12	84	SpD	F	30-Apr-08	37
1	B153_3	8	H153_51	3	M153_21	153	IBA	F	17-Dec-09	35.6
1	B163_9	8	H163_57	3	M163_27	163	IBA	F	21-Jan-10	35.4
NA	NA	8	H164_56	3	M164_26	164	Ent	F	23-Jan-10	25.4
