study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_aspera	cram_index_galaxy	sample_title
PRJNA418486	SAMN08028589	SRS2689236	SRX3395051	SRR6293948	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/008/SRR6293948/SRR6293948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/008/SRR6293948/SRR6293948_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/008/SRR6293948/SRR6293948_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/008/SRR6293948/SRR6293948_2.fastq.gz		Forebrain_SA_rep1
PRJNA418486	SAMN08028588	SRS2689237	SRX3395052	SRR6293949	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/009/SRR6293949/SRR6293949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/009/SRR6293949/SRR6293949_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/009/SRR6293949/SRR6293949_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/009/SRR6293949/SRR6293949_2.fastq.gz		Forebrain_SA_rep2
PRJNA418486	SAMN08028587	SRS2689238	SRX3395053	SRR6293950	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/000/SRR6293950/SRR6293950_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/000/SRR6293950/SRR6293950_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/000/SRR6293950/SRR6293950_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/000/SRR6293950/SRR6293950_2.fastq.gz		Forebrain_SA_rep3
PRJNA418486	SAMN08028586	SRS2689239	SRX3395054	SRR6293951	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/001/SRR6293951/SRR6293951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/001/SRR6293951/SRR6293951_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/001/SRR6293951/SRR6293951_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/001/SRR6293951/SRR6293951_2.fastq.gz		Forebrain_SA_rep4
PRJNA418486	SAMN08028585	SRS2689240	SRX3395055	SRR6293952	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/002/SRR6293952/SRR6293952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/002/SRR6293952/SRR6293952_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/002/SRR6293952/SRR6293952_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/002/SRR6293952/SRR6293952_2.fastq.gz		Forebrain_SA_rep5
PRJNA418486	SAMN08028584	SRS2689241	SRX3395056	SRR6293953	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/003/SRR6293953/SRR6293953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/003/SRR6293953/SRR6293953_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/003/SRR6293953/SRR6293953_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/003/SRR6293953/SRR6293953_2.fastq.gz		Forebrain_Ar_rep1
PRJNA418486	SAMN08028583	SRS2689242	SRX3395057	SRR6293954	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/004/SRR6293954/SRR6293954_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/004/SRR6293954/SRR6293954_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/004/SRR6293954/SRR6293954_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/004/SRR6293954/SRR6293954_2.fastq.gz		Forebrain_Ar_rep2
PRJNA418486	SAMN08028531	SRS2689243	SRX3395058	SRR6293955	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/005/SRR6293955/SRR6293955_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/005/SRR6293955/SRR6293955_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/005/SRR6293955/SRR6293955_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/005/SRR6293955/SRR6293955_2.fastq.gz		Forebrain_Ent_rep1
PRJNA418486	SAMN08028530	SRS2689244	SRX3395059	SRR6293956	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/006/SRR6293956/SRR6293956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/006/SRR6293956/SRR6293956_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/006/SRR6293956/SRR6293956_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/006/SRR6293956/SRR6293956_2.fastq.gz		Forebrain_Ar_rep3
PRJNA418486	SAMN08028582	SRS2689245	SRX3395060	SRR6293957	43179	Ictidomys tridecemlineatus	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/007/SRR6293957/SRR6293957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR629/007/SRR6293957/SRR6293957_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/007/SRR6293957/SRR6293957_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR629/007/SRR6293957/SRR6293957_2.fastq.gz		Forebrain_Ar_rep4
